frame,time,features,flow_left,flow_center,flow_right,speed,x,y,z,yaw,collision,state,flow_std
10,1748941683.60,150,0.080,0.032,0.076,0.01,0.00,0.00,-0.95,0.00,0,nudge,0.022
11,1748941684.70,150,3.187,2.503,2.758,0.37,0.21,0.00,-0.90,-0.00,0,none,2.751
12,1748941684.80,150,3.065,2.597,2.778,0.37,0.25,0.00,-0.89,-0.00,0,none,0.126
13,1748941684.90,150,4.249,3.071,3.567,0.33,0.29,0.00,-0.88,-0.00,0,none,3.025
14,1748941685.02,150,4.050,3.105,3.514,0.29,0.32,0.00,-0.88,-0.00,0,none,0.630
15,1748941685.12,150,4.316,3.387,3.785,0.24,0.34,0.00,-0.88,-0.00,0,none,0.031
16,1748941685.22,150,3.197,2.536,2.839,0.19,0.37,0.00,-0.87,-0.00,0,nudge,0.034
17,1748941686.33,150,4.019,3.244,3.841,0.39,0.66,0.00,-0.81,-0.00,0,none,5.238
18,1748941686.44,149,2.966,2.824,3.139,0.38,0.69,0.00,-0.81,-0.00,0,none,0.725
19,1748941686.53,149,3.681,2.710,3.176,0.35,0.73,0.00,-0.80,-0.00,0,none,3.053
20,1748941686.64,148,3.758,2.788,3.261,0.30,0.77,0.00,-0.80,-0.00,0,none,0.107
21,1748941686.75,148,3.834,2.855,3.331,0.25,0.79,0.00,-0.79,-0.00,0,none,0.043
22,1748941686.85,148,2.547,1.686,1.867,0.19,0.82,0.00,-0.79,-0.00,0,nudge,0.069
23,1748941687.98,135,5.335,2.231,2.348,0.38,1.10,0.00,-0.73,-0.00,0,none,8.288
24,1748941688.08,131,4.199,1.928,1.885,0.38,1.14,0.00,-0.73,-0.00,0,none,0.031
25,1748941688.18,131,4.834,2.033,2.296,0.35,1.17,0.00,-0.72,-0.00,0,none,2.703
26,1748941688.28,130,4.908,2.109,2.379,0.31,1.21,0.00,-0.71,-0.00,0,none,0.164
27,1748941688.38,130,4.972,2.177,2.442,0.25,1.24,0.00,-0.71,-0.00,0,none,0.028
28,1748941688.49,130,1.765,1.240,1.569,0.20,1.26,0.00,-0.71,-0.00,0,nudge,0.034
29,1748941689.61,124,3.094,1.913,2.256,0.39,1.55,0.00,-0.65,-0.00,0,none,3.853
30,1748941689.70,124,2.233,1.554,1.589,0.39,1.58,0.00,-0.64,-0.00,0,none,0.117
31,1748941689.79,124,2.934,1.646,1.725,0.36,1.62,0.00,-0.64,-0.00,0,none,2.342
32,1748941689.89,123,3.033,1.742,1.829,0.32,1.65,0.00,-0.63,-0.00,0,none,0.267
33,1748941689.99,123,3.088,1.799,1.888,0.27,1.68,0.00,-0.63,0.00,0,none,0.032
34,1748941690.08,123,1.602,0.969,1.044,0.22,1.70,0.00,-0.63,0.00,0,none,0.030
35,1748941690.18,123,1.504,0.892,0.966,0.17,1.72,0.00,-0.63,0.00,0,nudge,0.030
36,1748941691.28,115,2.124,1.237,1.335,0.38,1.99,0.00,-0.57,-0.00,0,none,4.180
37,1748941691.38,114,1.996,1.114,1.204,0.38,2.03,0.00,-0.56,-0.00,0,none,0.024
38,1748941691.48,111,2.498,1.283,1.503,0.35,2.07,0.00,-0.56,-0.00,0,none,1.624
39,1748941691.58,111,2.627,1.410,1.630,0.30,2.10,0.00,-0.55,-0.00,0,none,0.095
40,1748941691.69,111,2.712,1.498,1.715,0.25,2.13,0.00,-0.55,-0.00,0,none,0.023
41,1748941691.80,111,1.152,0.825,0.971,0.19,2.16,0.00,-0.55,-0.00,0,nudge,0.019
42,1748941692.92,103,1.738,1.382,1.448,0.38,2.44,0.00,-0.49,-0.00,0,none,1.961
43,1748941693.01,103,1.156,1.132,1.066,0.39,2.48,0.00,-0.48,-0.00,0,none,0.018
44,1748941693.11,101,1.621,1.256,1.251,0.36,2.51,0.00,-0.47,-0.00,0,none,1.047
45,1748941693.21,101,1.659,1.289,1.288,0.32,2.54,0.00,-0.47,-0.00,0,none,0.048
46,1748941693.30,101,1.711,1.337,1.337,0.26,2.58,0.00,-0.47,-0.00,0,none,0.022
47,1748941693.43,101,1.054,0.703,0.783,0.20,2.60,0.00,-0.46,-0.00,0,none,0.024
48,1748941693.53,101,1.009,0.656,0.736,0.15,2.62,0.00,-0.46,-0.00,0,nudge,0.024
49,1748941694.64,94,1.170,1.047,1.024,0.37,2.87,0.00,-0.41,-0.00,0,none,2.149
50,1748941694.73,90,1.080,0.972,0.934,0.38,2.91,0.00,-0.40,-0.00,0,none,0.166
51,1748941694.83,90,1.512,1.162,1.201,0.35,2.95,0.00,-0.39,-0.00,0,none,1.884
52,1748941694.93,88,1.599,1.258,1.296,0.31,2.98,0.00,-0.39,-0.00,0,none,0.037
53,1748941695.03,87,1.683,1.328,1.364,0.26,3.00,0.00,-0.38,-0.00,0,none,0.068
54,1748941695.12,86,0.909,0.663,0.739,0.21,3.03,0.00,-0.38,-0.00,0,none,0.019
55,1748941695.22,86,0.861,0.602,0.690,0.16,3.05,0.00,-0.38,-0.00,0,nudge,0.018
