frame,time,features,flow_left,flow_center,flow_right
2,1748954817.43,150,0.161,0.138,0.012
3,1748954817.63,150,0.325,0.237,0.015
4,1748954817.73,150,0.275,0.210,0.014
5,1748954817.83,150,0.233,0.177,0.012
6,1748954817.94,150,0.203,0.159,0.012
7,1748954818.05,150,0.180,0.138,0.010
8,1748954818.16,150,0.085,0.072,0.008
9,1748954818.28,150,0.053,0.044,0.007
10,1748954818.39,150,0.037,0.033,0.006
11,1748954818.49,150,0.028,0.022,0.006
12,1748954818.58,150,0.028,0.024,0.006
13,1748954818.68,150,0.035,0.029,0.006
14,1748954818.78,150,0.041,0.033,0.006
15,1748954818.90,150,0.046,0.037,0.007
16,1748954819.01,150,0.049,0.038,0.007
17,1748954819.10,150,0.050,0.036,0.007
18,1748954819.21,150,0.051,0.041,0.007
19,1748954819.31,150,0.050,0.040,0.007
20,1748954819.41,150,0.047,0.038,0.006
21,1748954819.50,150,0.045,0.037,0.007
22,1748954819.62,141,3.557,5.019,8.165
23,1748954819.73,145,5.706,6.833,9.942
24,1748954819.83,149,7.057,7.216,10.160
25,1748954819.93,150,7.489,7.358,10.318
26,1748954820.02,150,8.694,7.658,10.488
27,1748954820.13,150,6.786,3.276,2.744
28,1748954820.23,150,6.110,2.201,1.357
29,1748954820.33,150,6.269,2.524,1.656
30,1748954820.42,150,7.245,3.201,1.919
31,1748954820.52,150,7.411,3.459,2.266
32,1748954820.63,150,7.159,3.488,2.526
33,1748954820.72,150,6.668,3.367,2.814
34,1748954820.82,150,6.115,3.371,3.158
35,1748954820.93,150,5.575,3.228,3.738
36,1748954821.05,150,4.946,3.298,4.307
37,1748954821.15,150,4.213,3.238,4.759
38,1748954821.26,148,3.860,3.229,5.331
39,1748954821.38,150,3.505,3.061,5.767
40,1748954821.48,150,3.217,2.909,6.132
41,1748954821.59,150,3.061,2.646,6.595
42,1748954821.69,149,3.054,2.440,7.254
43,1748954821.81,134,3.203,2.192,8.113
44,1748954821.92,140,3.518,2.020,8.722
45,1748954822.02,138,3.640,1.799,8.958
46,1748954822.13,142,3.870,1.706,9.064
47,1748954822.24,148,4.087,1.572,8.778
48,1748954822.35,143,4.002,1.460,8.397
49,1748954822.48,143,3.944,1.346,7.788
50,1748954822.60,147,3.858,1.251,7.134
51,1748954822.71,149,3.673,1.153,6.494
52,1748954822.83,149,3.250,1.071,5.904
53,1748954822.95,149,3.042,0.997,5.356
54,1748954823.06,150,2.618,0.881,5.061
55,1748954823.17,150,2.439,0.798,5.109
56,1748954823.30,150,2.326,0.802,5.310
57,1748954823.41,150,2.371,0.799,5.517
58,1748954823.53,149,2.416,0.767,5.356
59,1748954823.64,150,2.422,0.751,5.328
60,1748954823.74,150,2.480,0.743,5.406
61,1748954823.85,150,2.428,0.697,5.352
62,1748954823.96,150,2.387,0.671,5.157
63,1748954824.07,150,2.248,0.650,5.091
64,1748954824.18,150,2.196,0.655,5.110
65,1748954824.29,150,2.093,0.680,5.086
66,1748954824.40,150,1.960,0.680,4.794
67,1748954824.51,150,1.907,0.686,4.862
68,1748954824.62,150,1.824,0.704,4.654
69,1748954824.73,150,1.745,0.698,4.360
70,1748954824.84,150,1.710,0.661,3.945
71,1748954824.95,150,1.716,0.626,3.717
72,1748954825.05,150,1.696,0.587,3.397
73,1748954825.15,149,1.741,0.545,3.380
74,1748954825.26,148,1.789,0.524,3.223
75,1748954825.39,150,1.927,0.546,3.377
76,1748954825.51,150,2.041,0.555,3.382
77,1748954825.61,150,2.096,0.570,3.288
78,1748954825.71,150,2.091,0.559,3.159
79,1748954825.82,150,2.160,0.573,3.226
80,1748954825.92,150,2.112,0.558,3.050
81,1748954826.04,150,2.085,0.576,3.083
82,1748954826.14,149,2.128,0.598,3.068
83,1748954826.25,150,2.200,0.616,2.879
84,1748954826.37,150,2.178,0.628,2.761
85,1748954826.48,150,2.073,0.646,2.641
86,1748954826.59,150,1.973,0.665,2.486
87,1748954826.70,149,1.808,0.677,2.335
88,1748954826.81,150,1.708,0.720,2.433
89,1748954826.90,149,1.575,0.720,2.528
90,1748954827.00,150,1.548,0.726,2.613
91,1748954827.10,150,1.576,0.745,2.692
92,1748954827.23,148,1.732,0.775,2.930
93,1748954827.34,148,1.828,0.774,2.962
94,1748954827.45,147,1.914,0.782,2.840
95,1748954827.55,149,1.958,0.779,2.757
96,1748954827.66,149,1.918,0.757,2.603
97,1748954827.77,150,1.865,0.769,2.485
98,1748954827.89,150,1.849,0.784,2.492
99,1748954828.00,150,1.898,0.839,2.615
100,1748954828.12,150,1.939,0.901,2.674
101,1748954828.24,149,2.057,0.993,2.843
102,1748954828.36,150,2.069,0.994,2.909
103,1748954828.47,150,2.111,1.050,3.015
104,1748954828.58,150,2.108,1.035,3.016
105,1748954828.69,149,2.121,1.036,3.107
106,1748954828.79,148,2.048,0.976,3.029
107,1748954828.90,147,2.103,1.009,3.061
108,1748954829.01,148,2.140,1.007,3.094
109,1748954829.13,150,2.212,1.053,3.199
