frame,time,features,flow_left,flow_center,flow_right,speed
2,1748971782.78,75,0.181,0.075,0.176,0.07
3,1748971782.90,75,0.199,0.089,0.198,0.04
4,1748971783.03,75,0.185,0.084,0.184,0.03
5,1748971783.14,75,0.148,0.068,0.149,1.84
6,1748971785.29,75,3.969,3.985,6.680,1.83
7,1748971785.42,75,6.542,11.824,8.358,1.77
8,1748971785.55,75,7.913,12.970,9.952,1.75
9,1748971786.68,75,7.857,13.557,11.304,0.48
10,1748971787.81,75,6.598,17.256,9.688,0.12
11,1748971788.96,75,6.470,11.277,7.968,0.07
12,1748971790.09,75,4.952,6.382,5.205,0.07
13,1748971791.21,75,3.495,3.607,3.474,0.07
14,1748971792.34,75,2.753,2.163,2.569,0.07
