frame,time,features,flow_left,flow_center,flow_right,speed,simgetimage_s,decode_s,processing_s,loop_s
2,1748977570.87,75,0.043,0.028,0.051,0.06,0.020,0.020,0.000,0.035
3,1748977570.92,75,0.061,0.043,0.074,0.08,0.020,0.020,0.000,0.032
4,1748977570.97,75,0.108,0.071,0.111,0.08,0.024,0.024,0.000,0.035
5,1748977571.02,75,0.113,0.070,0.125,1.84,0.023,0.023,0.000,2.051
6,1748977573.07,64,34.571,3.454,3.156,1.84,0.020,0.020,0.000,0.034
7,1748977573.12,75,18.669,2.044,2.654,1.85,0.021,0.021,0.000,0.034
8,1748977573.17,75,10.683,1.426,2.550,1.86,0.019,0.019,0.000,0.033
9,1748977573.22,74,6.494,1.014,2.546,1.87,0.021,0.021,0.000,0.034
10,1748977573.27,75,4.480,0.850,2.538,1.88,0.025,0.025,0.000,0.038
11,1748977573.32,75,3.401,0.647,2.587,1.89,0.022,0.022,0.000,0.033
12,1748977573.38,75,3.041,0.781,2.774,1.89,0.022,0.022,0.000,0.034
13,1748977573.43,75,2.815,0.564,2.916,1.90,0.023,0.023,0.000,0.035
14,1748977573.48,75,2.852,0.551,2.946,1.90,0.023,0.023,0.000,0.035
15,1748977573.53,75,2.721,0.493,3.059,1.91,0.023,0.023,0.000,0.037
16,1748977573.58,74,2.862,0.730,2.860,1.92,0.024,0.024,0.000,0.036
17,1748977573.63,73,3.203,0.587,2.964,1.92,0.023,0.023,0.000,0.034
18,1748977573.68,75,3.221,0.614,3.139,1.92,0.025,0.025,0.000,0.036
19,1748977573.73,74,3.353,0.550,3.384,1.93,0.025,0.025,0.000,0.044
20,1748977573.78,75,3.335,0.685,3.449,1.93,0.026,0.026,0.000,0.038
21,1748977573.83,75,3.536,0.647,3.276,1.93,0.027,0.027,0.000,0.042
22,1748977573.88,75,3.723,0.604,3.455,1.94,0.026,0.026,0.000,0.041
23,1748977573.93,73,3.799,0.660,3.170,1.94,0.024,0.024,0.000,0.038
24,1748977573.98,75,3.907,0.659,2.956,1.94,0.022,0.022,0.000,0.035
25,1748977574.03,75,3.616,0.488,2.803,1.95,0.021,0.021,0.000,0.037
26,1748977574.08,73,3.487,0.587,2.903,1.95,0.023,0.023,0.000,0.038
27,1748977574.13,74,3.361,0.531,2.998,1.95,0.024,0.024,0.000,0.040
28,1748977574.18,75,3.261,0.603,2.937,1.95,0.023,0.023,0.000,0.037
29,1748977574.23,74,3.077,0.494,2.834,1.95,0.021,0.021,0.000,0.035
30,1748977574.29,75,3.167,0.461,3.066,1.96,0.020,0.020,0.000,0.032
31,1748977574.34,75,2.978,0.454,3.026,1.96,0.019,0.019,0.000,0.035
32,1748977574.39,73,2.966,0.534,3.065,1.96,0.021,0.021,0.000,0.035
33,1748977574.44,74,2.988,0.516,3.027,1.96,0.020,0.020,0.000,0.034
34,1748977574.49,74,3.184,0.578,3.128,1.96,0.022,0.022,0.000,0.036
35,1748977574.54,75,3.096,0.455,3.006,1.96,0.022,0.022,0.000,0.036
36,1748977574.59,74,2.971,0.400,2.783,1.96,0.021,0.021,0.000,0.034
37,1748977574.64,74,3.084,0.607,2.768,1.96,0.020,0.020,0.000,1.040
38,1748977575.68,74,5.804,7.762,7.815,0.60,0.021,0.021,0.000,0.033
39,1748977575.73,75,4.393,4.556,4.830,0.57,0.023,0.023,0.000,0.034
40,1748977575.78,74,7.277,8.076,7.942,0.57,0.022,0.022,0.000,1.042
41,1748977576.82,75,7.698,6.872,8.450,0.20,0.021,0.021,0.000,0.034
42,1748977576.87,75,4.566,3.779,4.729,0.19,0.024,0.024,0.000,0.037
43,1748977576.92,75,10.249,7.329,10.002,0.22,0.021,0.021,0.000,0.035
44,1748977576.97,73,11.016,7.366,9.300,0.31,0.025,0.025,0.000,0.037
45,1748977577.02,73,9.332,6.156,7.399,0.38,0.021,0.021,0.000,0.034
46,1748977577.07,75,7.684,4.982,5.717,0.47,0.021,0.021,0.000,0.034
47,1748977577.13,75,5.708,3.583,4.103,0.55,0.024,0.024,0.000,0.035
48,1748977577.18,75,3.768,2.301,2.618,0.63,0.020,0.020,0.000,0.032
49,1748977577.23,74,2.240,1.321,1.629,0.70,0.023,0.023,0.000,0.036
50,1748977577.28,75,1.738,0.939,1.213,0.77,0.024,0.024,0.000,0.034
51,1748977577.33,75,1.725,0.939,1.308,0.85,0.026,0.026,0.000,0.037
52,1748977577.38,74,1.895,1.079,1.394,0.91,0.026,0.026,0.000,0.038
53,1748977577.43,75,2.046,1.167,1.557,0.97,0.022,0.022,0.000,0.034
54,1748977577.48,75,2.417,1.375,1.811,1.04,0.024,0.024,0.000,0.036
55,1748977577.53,75,2.464,1.413,1.978,1.10,0.024,0.024,0.000,0.036
56,1748977577.58,75,2.595,1.492,2.164,1.15,0.023,0.023,0.000,0.034
