frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749110861.36,75,0.028,0.041,0.045,2.712,0.00,0.00,-0.96,0.00,0.05,none,1,20.52,3.10,0.00,15.37,0.020,0.020,0.0,0.065
3,1749110861.40,75,0.033,0.040,0.054,1.424,0.00,0.00,-0.95,0.00,0.08,none,0,20.71,3.14,0.00,19.83,0.023,0.023,0.0,0.050
4,1749110861.45,75,0.048,0.050,0.075,1.893,0.00,0.00,-0.95,0.00,0.08,none,0,20.79,3.16,0.00,19.96,0.023,0.023,0.0,0.050
5,1749110861.50,75,0.059,0.057,0.096,2.631,0.00,0.00,-0.94,0.00,0.07,none,0,20.74,3.15,0.00,19.92,0.022,0.022,0.0,0.050
6,1749110861.55,75,0.071,0.061,0.106,2.288,0.00,0.00,-0.94,0.00,0.06,none,0,20.65,3.13,0.00,19.89,0.024,0.024,0.0,0.050
7,1749110861.60,75,0.079,0.065,0.109,2.450,0.00,0.00,-0.94,0.00,0.05,none,0,20.57,3.11,0.00,19.89,0.023,0.023,0.0,0.050
8,1749110861.65,75,0.078,0.065,0.108,1.861,0.00,0.00,-0.94,0.00,0.05,none,0,20.48,3.10,0.00,19.90,0.023,0.023,0.0,0.050
9,1749110861.70,75,0.080,0.063,0.107,1.587,0.00,0.00,-0.93,0.00,0.04,none,0,20.40,3.08,0.00,19.86,0.023,0.023,0.0,0.050
10,1749110861.75,75,0.077,0.062,0.103,1.306,0.00,0.00,-0.93,0.00,0.03,none,0,20.33,3.07,0.00,19.88,0.021,0.021,0.0,0.050
11,1749110861.80,75,0.073,0.059,0.102,1.239,0.00,0.00,-0.93,0.00,0.02,none,0,20.26,3.05,0.00,19.88,0.026,0.026,0.0,0.050
12,1749110861.85,75,0.074,0.059,0.102,0.952,0.00,0.00,-0.93,0.00,0.02,none,0,20.20,3.04,0.00,19.92,0.023,0.023,0.0,0.050
13,1749110861.90,75,0.073,0.058,0.104,1.522,0.00,0.00,-0.93,0.00,0.01,none,0,20.16,3.03,0.00,19.92,0.022,0.022,0.0,0.050
14,1749110861.95,75,0.069,0.054,0.096,0.681,0.00,0.00,-0.93,0.00,0.01,none,0,20.11,3.02,0.00,19.95,0.022,0.022,0.0,0.050
15,1749110862.00,75,0.062,0.049,0.084,0.633,0.00,0.00,-0.93,0.00,0.01,none,0,20.07,3.01,0.00,19.87,0.023,0.023,0.0,0.050
16,1749110862.05,75,0.052,0.043,0.072,0.537,0.00,0.00,-0.93,0.00,0.00,none,0,20.04,3.01,0.00,19.97,0.023,0.023,0.0,0.050
17,1749110862.10,75,0.041,0.036,0.063,0.398,0.00,0.00,-0.93,0.00,0.00,none,0,20.01,3.00,0.00,19.90,0.021,0.021,0.0,0.050
18,1749110862.15,75,0.036,0.031,0.055,0.368,0.00,0.00,-0.93,0.00,0.00,none,0,20.01,3.00,0.00,19.96,0.022,0.022,0.0,0.050
19,1749110862.20,75,0.027,0.028,0.048,0.426,0.00,0.00,-0.93,0.00,0.00,none,0,20.04,3.01,0.00,19.92,0.021,0.021,0.0,0.050
20,1749110862.25,75,0.024,0.025,0.044,0.357,0.00,0.00,-0.93,0.00,0.01,none,0,20.06,3.01,0.00,19.83,0.023,0.023,0.0,0.050
21,1749110862.30,75,0.022,0.023,0.038,0.497,0.00,0.00,-0.93,0.00,0.01,none,0,20.07,3.01,0.00,19.91,0.020,0.020,0.0,0.050
22,1749110862.35,75,0.020,0.022,0.036,0.494,0.00,0.00,-0.93,0.00,0.01,none,0,20.08,3.02,0.00,19.86,0.022,0.022,0.0,0.050
23,1749110862.40,75,0.019,0.021,0.031,0.520,0.00,0.00,-0.93,0.00,0.01,none,0,20.10,3.02,0.00,19.94,0.022,0.022,0.0,0.050
24,1749110862.45,75,0.017,0.021,0.030,0.575,0.00,0.00,-0.93,0.00,0.01,none,0,20.11,3.02,0.00,19.78,0.021,0.021,0.0,0.051
25,1749110862.50,75,0.017,0.020,0.029,0.460,0.00,0.00,-0.93,0.00,0.01,none,0,20.11,3.02,0.00,19.77,0.020,0.020,0.0,0.051
26,1749110862.55,75,0.017,0.020,0.031,1.114,0.00,0.00,-0.93,0.00,0.01,none,0,20.12,3.02,0.00,19.96,0.021,0.021,0.0,0.050
27,1749110862.60,75,0.019,0.021,0.032,0.670,0.00,0.00,-0.93,0.00,0.01,none,0,20.12,3.02,0.00,19.88,0.023,0.023,0.0,0.050
28,1749110862.65,75,0.019,0.021,0.033,0.539,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.82,0.020,0.020,0.0,0.050
29,1749110862.70,75,0.020,0.021,0.033,0.484,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.96,0.019,0.019,0.0,0.050
30,1749110862.75,75,0.021,0.023,0.035,0.694,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.90,0.021,0.021,0.0,0.050
31,1749110862.81,75,0.021,0.023,0.036,0.548,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.92,0.022,0.022,0.0,0.050
32,1749110862.86,75,0.022,0.023,0.037,0.851,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.88,0.021,0.021,0.0,0.050
33,1749110862.91,75,0.022,0.023,0.037,0.585,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.79,0.020,0.020,0.0,0.051
34,1749110862.96,75,0.022,0.023,0.037,0.509,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.88,0.021,0.021,0.0,0.050
35,1749110863.01,75,0.023,0.024,0.038,0.778,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.97,0.019,0.019,0.0,0.050
36,1749110863.06,75,0.023,0.024,0.038,0.626,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.92,0.023,0.023,0.0,0.050
37,1749110863.11,75,0.023,0.024,0.037,0.584,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.81,0.023,0.023,0.0,0.050
38,1749110863.16,75,0.025,0.025,0.037,0.521,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,18.14,0.023,0.023,0.0,0.055
39,1749110863.21,75,0.025,0.025,0.038,0.666,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.91,0.026,0.026,0.0,0.050
40,1749110863.26,75,0.024,0.024,0.037,0.467,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.86,0.024,0.024,0.0,0.050
41,1749110863.31,75,0.024,0.024,0.037,0.536,0.00,0.00,-0.94,0.00,0.01,none,0,20.11,3.02,0.00,19.79,0.020,0.020,0.0,0.051
42,1749110863.36,75,0.025,0.023,0.036,0.616,0.00,0.00,-0.94,0.00,0.01,resume_reinforce,0,20.11,3.02,0.00,19.82,0.022,0.022,0.0,0.050
43,1749110863.41,75,0.032,0.028,0.042,1.457,0.00,-0.00,-0.94,-0.00,0.03,none,0,20.34,3.07,0.00,19.96,0.024,0.024,0.0,0.050
44,1749110863.46,74,1.261,0.901,1.531,216.945,0.00,-0.00,-0.94,-0.00,0.07,none,0,20.48,3.10,0.00,19.92,0.022,0.022,0.0,0.050
45,1749110863.51,74,2.108,1.565,2.549,133.456,0.01,-0.00,-0.94,-0.00,0.18,none,0,21.40,3.28,0.00,19.89,0.023,0.023,0.0,0.050
46,1749110863.56,75,2.738,2.078,3.159,89.751,0.02,-0.00,-0.95,0.00,0.28,none,0,22.50,3.50,0.00,19.91,0.024,0.024,0.0,0.050
47,1749110863.61,75,3.132,2.400,3.541,58.485,0.03,-0.00,-0.96,0.00,0.37,none,0,23.41,3.68,0.00,19.83,0.022,0.022,0.0,0.050
