frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749147926.43,75,0.038,0.027,0.047,1.525,0.00,0.00,-0.96,0.00,0.06,none,1,0,20.59,3.12,0.00,13.52,0.023,0.023,0.0,0.074
3,1749147926.47,75,0.042,0.046,0.061,2.301,0.00,0.00,-0.95,0.00,0.08,none,0,0,20.73,3.15,0.00,19.89,0.019,0.019,0.0,0.050
4,1749147926.52,75,0.056,0.054,0.090,2.181,0.00,0.00,-0.95,0.00,0.08,none,0,0,20.78,3.16,0.00,19.81,0.022,0.022,0.0,0.050
5,1749147926.57,75,0.068,0.059,0.105,2.233,0.00,0.00,-0.94,0.00,0.07,none,0,0,20.72,3.14,0.00,19.87,0.024,0.024,0.0,0.050
6,1749147926.62,75,0.075,0.064,0.113,2.506,0.00,0.00,-0.94,0.00,0.06,none,0,0,20.64,3.13,0.00,19.84,0.022,0.022,0.0,0.050
7,1749147926.67,75,0.082,0.066,0.115,2.362,0.00,0.00,-0.94,0.00,0.05,none,0,0,20.55,3.11,0.00,19.91,0.021,0.021,0.0,0.050
8,1749147926.72,75,0.081,0.067,0.115,1.864,0.00,0.00,-0.94,0.00,0.04,none,0,0,20.46,3.09,0.00,19.92,0.025,0.025,0.0,0.050
9,1749147926.77,75,0.082,0.064,0.112,1.560,0.00,0.00,-0.93,0.00,0.04,none,0,0,20.38,3.08,0.00,19.94,0.022,0.022,0.0,0.050
10,1749147926.82,75,0.078,0.062,0.107,1.174,0.00,0.00,-0.93,0.00,0.03,none,0,0,20.32,3.06,0.00,19.91,0.022,0.022,0.0,0.050
11,1749147926.87,75,0.074,0.060,0.105,1.249,0.00,0.00,-0.93,0.00,0.02,none,0,0,20.25,3.05,0.00,19.82,0.025,0.025,0.0,0.050
12,1749147926.92,75,0.074,0.061,0.105,0.931,0.00,0.00,-0.93,0.00,0.02,none,0,0,20.19,3.04,0.00,19.85,0.024,0.024,0.0,0.050
13,1749147926.97,75,0.072,0.058,0.105,1.358,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.14,3.03,0.00,19.84,0.025,0.025,0.0,0.050
14,1749147927.02,75,0.067,0.053,0.094,0.598,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.10,3.02,0.00,19.91,0.021,0.021,0.0,0.050
15,1749147927.08,75,0.059,0.048,0.082,0.530,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.07,3.01,0.00,19.93,0.023,0.023,0.0,0.050
16,1749147927.13,75,0.050,0.042,0.070,0.531,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.03,3.01,0.00,19.87,0.022,0.022,0.0,0.050
17,1749147927.18,75,0.040,0.036,0.061,0.420,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.00,3.00,0.00,19.82,0.022,0.022,0.0,0.050
18,1749147927.23,75,0.033,0.030,0.052,0.458,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.02,3.00,0.00,19.89,0.022,0.022,0.0,0.050
19,1749147927.28,75,0.026,0.028,0.045,0.428,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.04,3.01,0.00,19.97,0.022,0.022,0.0,0.050
20,1749147927.33,75,0.023,0.025,0.041,0.458,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.06,3.01,0.00,19.94,0.022,0.022,0.0,0.050
21,1749147927.38,75,0.020,0.023,0.035,0.473,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.07,3.01,0.00,19.96,0.023,0.023,0.0,0.050
22,1749147927.43,75,0.019,0.022,0.034,0.490,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.09,3.02,0.00,19.91,0.023,0.023,0.0,0.050
23,1749147927.48,75,0.018,0.020,0.029,0.526,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.10,3.02,0.00,19.92,0.025,0.025,0.0,0.050
24,1749147927.53,75,0.018,0.020,0.029,0.509,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.11,3.02,0.00,19.90,0.027,0.027,0.0,0.050
25,1749147927.58,75,0.017,0.020,0.030,1.116,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.12,3.02,0.00,19.96,0.028,0.028,0.0,0.050
26,1749147927.63,75,0.018,0.020,0.032,0.822,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.12,3.02,0.00,19.85,0.024,0.024,0.0,0.050
27,1749147927.68,75,0.019,0.021,0.032,0.530,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.12,3.02,0.00,19.96,0.022,0.022,0.0,0.050
28,1749147927.73,75,0.020,0.021,0.033,0.538,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.92,0.023,0.023,0.0,0.050
29,1749147927.78,75,0.021,0.021,0.034,0.742,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.97,0.021,0.021,0.0,0.050
30,1749147927.83,75,0.022,0.022,0.035,0.585,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.84,0.025,0.025,0.0,0.050
31,1749147927.88,75,0.023,0.023,0.037,0.722,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.93,0.021,0.021,0.0,0.050
32,1749147927.93,75,0.023,0.023,0.038,0.666,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,3.03,0.00,19.80,0.022,0.022,0.0,0.050
33,1749147927.98,75,0.023,0.024,0.038,0.550,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,3.03,0.00,19.82,0.021,0.021,0.0,0.050
34,1749147928.03,75,0.023,0.024,0.038,0.696,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,3.03,0.00,19.91,0.020,0.020,0.0,0.050
35,1749147928.08,75,0.024,0.025,0.038,0.758,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,3.03,0.00,19.96,0.020,0.020,0.0,0.050
36,1749147928.13,75,0.024,0.025,0.038,0.606,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,3.03,0.00,19.86,0.021,0.021,0.0,0.050
37,1749147928.18,75,0.025,0.024,0.039,0.551,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,3.02,0.00,19.79,0.020,0.020,0.0,0.051
38,1749147928.23,75,0.025,0.025,0.039,0.669,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,3.02,0.00,19.79,0.019,0.019,0.0,0.051
39,1749147928.28,75,0.024,0.025,0.038,0.443,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,3.02,0.00,19.89,0.021,0.021,0.0,0.050
40,1749147928.33,75,0.024,0.025,0.038,0.602,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,3.02,0.00,19.75,0.022,0.022,0.0,0.051
41,1749147928.38,75,0.024,0.024,0.037,0.497,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.11,3.02,0.00,19.91,0.019,0.019,0.0,0.050
42,1749147928.43,75,0.024,0.026,0.036,1.114,0.00,0.00,-0.94,0.00,0.01,resume_reinforce,0,0,20.11,3.02,0.00,19.92,0.021,0.021,0.0,0.050
43,1749147928.48,75,0.031,0.033,0.041,1.754,0.00,-0.00,-0.94,-0.00,0.03,none,0,0,20.32,3.06,0.00,19.96,0.019,0.019,0.0,0.050
44,1749147928.53,73,1.276,0.894,1.439,185.598,0.14,0.00,-0.89,-0.00,0.09,brake,0,1,20.53,3.11,0.00,0.96,0.022,0.022,0.0,1.045
45,1749147929.58,74,3.116,1.997,2.674,15.211,0.14,0.00,-0.89,-0.00,0.09,resume,0,0,20.89,3.18,0.00,19.84,0.021,0.021,0.0,0.050
46,1749147929.63,75,3.205,2.081,2.783,14.689,0.15,0.00,-0.88,-0.00,0.09,none,0,0,20.91,3.18,0.00,19.95,0.025,0.025,0.0,0.050
47,1749147929.68,74,4.579,3.000,4.317,270.882,0.15,0.00,-0.89,-0.00,0.16,none,0,0,21.26,3.25,0.00,19.96,0.020,0.020,0.0,0.050
48,1749147929.73,73,5.396,3.699,5.291,133.475,0.16,0.00,-0.89,-0.00,0.26,none,0,0,22.14,3.43,0.00,19.76,0.020,0.020,0.0,0.051
49,1749147929.78,74,6.006,4.216,5.906,91.475,0.17,0.00,-0.90,-0.00,0.35,none,0,0,23.14,3.63,0.00,19.79,0.020,0.020,0.0,0.051
50,1749147929.83,75,6.392,4.539,6.278,57.828,0.19,0.00,-0.91,-0.00,0.44,none,0,0,24.07,3.81,0.00,19.89,0.020,0.020,0.0,0.050
