frame,state
0,blind_forward
1,dodge_right
2,none
3,none
4,none
5,none
6,none
7,none
8,none
9,none
10,none
11,resume
12,none
13,none
14,none
15,none
16,none
17,none
18,none
19,none
20,none
21,none
22,dodge_left
23,none
24,none
25,none
26,resume
27,dodge_left
28,none
29,none
30,none
31,none
32,none
33,resume
34,dodge_left
35,none
36,none
37,resume
38,none
39,dodge_right
40,none
41,none
42,none
43,none
44,none
45,none
46,none
47,none
48,none
49,dodge_right
50,resume
51,none
52,none
53,none
54,none
55,none
56,dodge_left
57,resume
