frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749295200.02,150,0.093,0.077,0.102,2.755,0.00,0.00,-0.95,0.00,0.08,none,1,0,0,20.76,2.04,0.00,9.04,0.023,0.002,0.0,0.111
3,1749295200.08,150,0.092,0.124,0.144,3.065,0.00,0.00,-0.94,0.00,0.08,none,0,0,1,20.77,2.04,0.00,16.01,0.020,0.003,0.0,0.062
4,1749295200.15,150,0.122,0.129,0.173,3.099,0.00,0.00,-0.94,0.00,0.07,none,0,0,1,20.69,2.03,0.00,17.97,0.022,0.003,0.0,0.056
5,1749295200.20,150,0.155,0.137,0.173,3.919,0.00,0.00,-0.94,0.00,0.06,none,0,0,0,20.59,2.03,0.00,18.96,0.021,0.003,0.0,0.053
6,1749295200.25,150,0.145,0.132,0.171,2.274,0.00,0.00,-0.93,0.00,0.05,none,0,0,0,20.49,2.02,0.00,16.29,0.023,0.002,0.0,0.061
7,1749295200.32,150,0.157,0.128,0.168,3.055,0.00,0.00,-0.93,0.00,0.04,none,0,0,0,20.40,2.02,0.00,17.91,0.021,0.002,0.0,0.056
8,1749295200.37,150,0.149,0.121,0.164,1.971,0.00,0.00,-0.93,0.00,0.03,none,0,0,0,20.32,2.02,0.00,15.53,0.023,0.002,0.0,0.064
9,1749295200.44,150,0.143,0.116,0.158,1.630,0.00,0.00,-0.93,0.00,0.02,none,0,0,0,20.25,2.01,0.00,17.59,0.022,0.003,0.0,0.057
10,1749295200.49,150,0.135,0.110,0.150,1.341,0.00,0.00,-0.93,0.00,0.02,none,0,0,0,20.19,2.01,0.00,18.15,0.021,0.002,0.0,0.055
11,1749295200.55,150,0.126,0.106,0.143,1.111,0.00,0.00,-0.93,0.00,0.01,none,0,0,0,20.13,2.01,0.00,14.87,0.034,0.003,0.0,0.067
12,1749295200.62,150,0.124,0.104,0.139,1.059,0.00,0.00,-0.92,0.00,0.01,none,0,0,0,20.08,2.00,0.00,15.90,0.022,0.002,0.0,0.063
