frame,time,features,flow_left,flow_center,flow_right
2,1748874727.98,100,175.571,147.639,213.247
3,1748874728.09,89,137.905,100.148,156.931
4,1748874728.20,83,94.111,70.322,106.510
5,1748874728.31,82,74.939,55.906,85.037
6,1748874728.43,78,64.674,48.381,73.413
7,1748874728.54,78,33.761,22.146,35.606
8,1748874728.65,77,17.354,14.234,19.473
9,1748874728.76,75,19.341,14.472,22.146
10,1748874728.88,73,18.845,14.127,21.689
11,1748874728.99,69,16.390,11.916,19.185
12,1748874729.10,69,14.159,9.668,16.697
13,1748874729.22,69,12.496,7.973,15.247
14,1748874729.33,68,10.886,6.270,13.181
15,1748874729.46,67,9.566,4.658,11.614
16,1748874729.57,67,8.982,3.605,10.701
17,1748874729.69,65,8.920,2.915,10.071
18,1748874729.80,64,8.756,2.246,9.007
19,1748874729.91,64,8.831,1.748,8.763
20,1748874730.02,63,9.337,1.328,7.985
21,1748874730.13,63,8.554,1.054,6.915
22,1748874730.24,62,7.441,0.803,6.154
23,1748874730.36,60,6.746,0.664,5.756
24,1748874730.47,60,5.579,0.581,4.869
25,1748874730.60,60,4.347,0.522,4.410
26,1748874730.70,59,4.060,0.483,4.667
27,1748874730.81,59,3.689,0.462,4.749
28,1748874730.94,59,3.341,0.431,4.119
29,1748874731.06,54,3.412,0.440,4.224
30,1748874731.19,54,2.830,0.440,4.342
31,1748874731.30,54,2.772,0.439,3.891
32,1748874731.42,54,3.187,0.449,3.671
33,1748874731.53,54,3.126,0.445,3.709
34,1748874731.64,54,3.217,0.433,3.489
35,1748874731.78,53,3.557,0.455,3.388
36,1748874731.92,52,3.689,0.484,2.846
37,1748874732.05,51,3.750,0.496,2.155
38,1748874732.17,51,3.237,0.526,2.156
39,1748874732.28,50,2.676,0.527,1.764
40,1748874732.39,50,2.010,0.511,0.974
41,1748874732.50,50,1.370,0.505,0.902
42,1748874732.62,49,0.584,0.514,0.890
43,1748874732.73,49,0.575,0.500,0.570
44,1748874732.87,49,0.459,0.545,0.756
45,1748874733.01,49,0.714,0.583,0.902
46,1748874733.12,48,1.075,0.589,1.031
47,1748874733.23,47,0.961,0.601,1.192
48,1748874733.35,45,0.772,0.612,1.453
49,1748874733.45,45,0.699,0.595,1.613
50,1748874733.56,43,0.407,0.576,1.377
51,1748874733.67,43,0.137,0.590,1.160
52,1748874733.78,43,0.277,0.593,0.878
53,1748874733.89,40,0.418,0.614,0.449
54,1748874734.00,40,0.570,0.637,0.000
55,1748874734.11,40,0.736,0.656,0.000
56,1748874734.23,40,0.801,0.701,0.000
57,1748874734.35,40,0.867,0.744,0.239
58,1748874734.46,40,0.916,0.764,0.449
59,1748874734.59,40,1.022,0.830,0.712
60,1748874734.73,40,1.129,0.915,0.995
61,1748874734.85,29,1.172,0.904,1.244
62,1748874734.98,29,1.233,0.908,1.279
63,1748874735.08,29,1.319,0.908,1.302
64,1748874735.24,29,1.422,0.941,1.407
65,1748874735.36,27,1.494,0.918,1.455
66,1748874735.48,23,1.591,0.927,1.502
67,1748874735.59,22,1.663,0.935,1.536
68,1748874735.70,22,1.768,0.990,1.646
69,1748874735.83,22,1.769,1.011,1.702
70,1748874735.93,20,1.854,1.074,1.791
71,1748874736.06,20,2.044,1.185,1.991
72,1748874736.17,19,2.156,1.238,2.197
73,1748874736.28,18,2.338,1.316,2.348
74,1748874736.37,13,2.403,1.389,2.304
75,1748874736.50,11,2.843,1.505,4.025
76,1748874736.62,10,4.041,1.725,4.805
78,1748874736.86,38,4.883,2.065,5.052
79,1748874738.46,39,6.568,5.182,6.267
80,1748874740.05,39,8.289,7.836,7.193
