frame,time,features,flow_left,flow_center,flow_right,speed
2,1748939334.37,150,202.639,336.865,226.185,0.34
3,1748939334.48,122,197.676,232.988,171.205,0.51
4,1748939334.58,118,136.003,160.764,119.101,0.67
5,1748939334.68,117,104.429,122.671,92.083,0.81
6,1748939334.79,116,87.137,101.527,77.338,0.94
7,1748939335.88,108,59.299,40.218,36.762,0.34
8,1748939336.99,109,26.775,18.369,16.336,0.09
9,1748939338.60,109,29.267,17.385,15.325,1.22
10,1748939340.23,110,31.081,17.440,14.844,1.38
11,1748939341.84,108,28.749,15.314,12.597,0.46
12,1748939343.44,108,17.541,10.319,8.678,0.32
13,1748939344.55,102,11.851,6.921,7.193,0.32
14,1748939344.66,100,7.047,4.861,5.508,0.32
15,1748939344.77,100,3.602,3.403,4.105,0.34
16,1748939344.86,92,2.838,3.215,5.887,0.48
17,1748939344.98,80,2.099,2.923,6.064,0.64
18,1748939345.09,80,1.925,2.491,4.953,0.80
19,1748939345.20,78,1.775,2.376,5.118,0.95
20,1748939345.31,78,1.600,2.273,5.164,1.08
21,1748939345.42,78,1.260,1.387,2.352,1.20
22,1748939345.51,78,0.662,0.782,1.891,1.30
23,1748939345.62,75,0.675,0.836,2.139,1.40
24,1748939345.73,74,0.755,0.908,2.064,1.48
25,1748939345.83,74,0.742,0.887,2.253,1.55
26,1748939345.94,73,0.704,0.872,2.310,1.61
27,1748939346.04,71,0.658,0.829,2.153,1.66
28,1748939346.14,71,0.572,0.747,2.056,1.70
29,1748939346.25,71,0.503,0.695,1.929,1.75
30,1748939346.36,66,0.448,0.630,1.921,1.78
31,1748939346.47,60,0.389,0.537,1.857,1.81
32,1748939346.58,58,0.344,0.473,1.607,1.84
33,1748939346.69,57,0.309,0.404,1.337,1.86
34,1748939346.79,56,0.271,0.334,1.150,1.88
35,1748939346.90,56,0.244,0.288,0.719,1.89
36,1748939347.01,55,0.225,0.245,0.357,1.90
37,1748939347.12,55,0.212,0.217,0.318,1.91
38,1748939347.23,55,0.206,0.198,0.340,1.92
39,1748939347.34,52,0.201,0.175,0.353,1.93
40,1748939347.44,52,0.196,0.164,0.290,1.94
41,1748939347.55,50,0.187,0.154,0.265,1.94
42,1748939347.66,50,0.178,0.149,0.253,1.95
43,1748939347.77,50,0.176,0.158,0.125,1.95
44,1748939347.88,48,0.711,0.653,0.056,1.84
45,1748939347.99,47,0.994,1.288,0.000,1.58
46,1748939348.11,47,1.528,1.763,0.730,1.35
47,1748939348.22,47,1.788,1.946,1.274,1.08
48,1748939348.33,47,1.825,1.987,1.663,0.83
49,1748939348.44,47,1.277,1.485,2.089,0.59
50,1748939348.54,47,1.034,0.899,2.204,0.33
51,1748939348.66,47,0.608,0.540,1.587,0.15
